id,input,label,evaluation,response,language
23,"On July 8 2020, the following claim was made: You cannot recover from the COVID-19.
Q: Was this claim true or false?",False,False,"Falsk. Der var flere rapporter og videnskabelige studier, der viser, at mange mennesker har kunnet atterfå sig fra COVID-19 efter sygdommen.",da
24,"On July 8 2020, the following claim was made: Catching the COVID-19 means you will have it for life
Q: Was this claim true or false?",False,False,"Dette påstand blev fremsagt den 8. juli 2020: At det at få COVID-19 betyder, du vil have det for livet.
Svar: Falsk 

(Oversættelse: Jeg har ændret til dansk)",da
25,"On July 8 2020, the following claim was made: Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort means you are free from the COVID-19 or any other lung disease.
Q: Was this claim true or false?",False,False,"Falsk. 

(Den påstandet var forkert)",da
26,"On July 8 2020, the following claim was made: Drinking alcohol protect you against COVID-19 and can be dangerous
Q: Was this claim true or false?",False,False,"Drikkevand kan være farligt og beskytte dig ikke mod COVID-19. 

Claim var: Falsk

 Derfor er svaret: Falsk",da
27,"On July 8 2020, the following claim was made: COVID-19 virus CANNOT be transmitted in areas with hot and humid climates
Q: Was this claim true or false?",False,False,"Falsk. 

(Denne forklaresning: Covid-19-virus kan overføres uanset klima og temperatur.)",da
28,"On July 8 2020, the following claim was made: Cold weather and snow can kill the COVID-19.
Q: Was this claim true or false?",False,False,"Dette påstand var forkert. Koldt vejr og sne kan ikke dræbe COVID-19-viruset, da det er en infektion som skyldes af en virus og ikke af vejret eller temperatur. 

Svar: Falsk",da
29,"On July 8 2020, the following claim was made: Taking a hot bath prevents the COVID-19 disease
Q: Was this claim true or false?",False,False,"Falsk. Der er ingen videnskabeligt belæg for, at en varmt bad kan forhindre COVID-19 sygdommen.",da
30,"On July 8 2020, the following claim was made: Spraying alcohol or chlorine all over human body kill the COVID-19
Q: Was this claim true or false?",False,False,"Dette påstand er forkert. Ifølge videnskabelige kilder og sundhedsorganisationer, har det ikke været bevist, at sprayning af alkohol eller klor på menneskekroppen kan dræbe COVID-19.

Derfor: Falsk",da
31,"On July 8 2020, the following claim was made: Vaccines against pneumonia will protect people against the COVID-19.
Q: Was this claim true or false?",False,False,"Dette påstand blev fremlagt den 8. juli 2020: Vacciner mod lungebetændelse vil beskytte mennesker mod COVID-19.
S: Dette påstand var falsk.",da
32,"On July 8 2020, the following claim was made: Regularly rinsing the nose with saline has protected people from infection with the COVID-19.
Q: Was this claim true or false?",False,False,"Dette påstand var forkert. Der er ikke tillægeligt, at gennemgang af næsen med saltvand har beskyttet folk mod infektion med COVID-19.

Svar: Falsk",da
33,"On July 8 2020, the following claim was made: Eating garlic helps prevent infection with the COVID-19
Q: Was this claim true or false?",False,False,Falsk,da
34,"On July 8 2020, the following claim was made: Young people will not get COVID-19
Q: Was this claim true or false?",False,True,"Falsk. Det var ikke sandt at unge mennesker ikke ville få COVID-19. Selv om unge mennesker statistisk set havde en lavere risiko for alvorlige sygdom som følge af COVID-19, så kunne de stadig smittes og overføre andre med virus.",da
35,"On July 8 2020, the following claim was made: Antibiotics are effective in preventing and treating the COVID-19
Q: Was this claim true or false?",False,False,Falsk,da
36,"On July 8 2020, the following claim was made: Coughing blood is one of the symptoms of COVID-19.
Q: Was this claim true or false?",False,True,"Sandlesning: Den påstand var sandt. 
Coughing blod er en af symptomerne for COVID-19. 
Svar: Sandt.",da
37,"On July 8 2020, the following claim was made: Skin irritation is one of the symptoms of COVID-19.
Q: Was this claim true or false?",False,True,"Sandhedsformning: Den 8. juli 2020, blev følgende påstand gjort: Irritation af huden er en af symptomerne på COVID-19.
Svar: Dette påstand var sandt. 
Dansk svar: Sandt.",da
38,"On July 8 2020, the following claim was made: A COVID-19 patent expired just as there is a sudden outbreak and, despite media fear-mongering, there is already a vaccine available.
Q: Was this claim true or false?",False,False,"Falsk. Der er ingen bevis for, at COVID-19-patenten udløb, og der var allerede en vaccine til rådighed ved udbruddet i 2020.",da
39,"On July 8 2020, the following claim was made: Drinking a bleach solution will prevent you from getting the COVID-19.
Q: Was this claim true or false?",False,False,"Falsk. 

(Den påstandet var forkert).",da
40,"On July 8 2020, the following claim was made: Scientists are shocked to discover that weed kills COVID-19 virus
Q: Was this claim true or false?",False,False,"Dette påstand blev fremlagt den 8. juli 2020: Videnskabsfolk er chokeret over at opdage, at weed dræber COVID-19-virus 
S: Dette påstand var forkert. 

Der er ingen videnskabelige bevis for, at ""weed"" (cannabis) har en positiv effekt på COVID-19-virus. Selv om der er nogen studier, der tyder på, at visse cannabis-relaterede stoffer kan have anti-inflammatoriske eller immunmodulerende effekter, er der ingen konklusiv bevis for, at weed kan ""dræbe"" COVID-19-virus. 

Derfor: Falsk",da
41,"On July 8 2020, the following claim was made: Cocaine kills COVID-19 virus, scientists is shocked to discover that this drug can fight the virus.
Q: Was this claim true or false?",False,False,"Falsk. Der er ingen videnskabelig bevisning for, at kokain kan bekæmpe COVID-19-virus.",da
42,"On July 8 2020, the following claim was made: COVID-19 doesn't affect Muslims
Q: Was this claim true or false?",False,False,"Falsk. Der er ingen tilsvarende grund at denne påstand var sand. COVID-19 rammer alle mennesker, uanset deres tro eller baggrund.",da
43,"On July 8 2020, the following claim was made: Hair weave and lace fronts manufactured in China may contain the COVID-19.
Q: Was this claim true or false?",False,False,"Dette påstand blev fremlagt den 8. juli 2020: Hårvæv og forhylster fremstillet i Kina kan indeholde COVID-19.
S: Dette påstand var falsk. Der er ingen videnskabeligt grundlag for, at hårvæv eller andet fronts kan overføre eller indeholde COVID-19-virus. 

Jeg har analyseret det indgangs påstand og konkluderer, at det er forkert.
Svar: Falsk",da
44,"On July 8 2020, the following claim was made: President Donald Trump spawned the Wuhan super COVID-19 virus outbreak under code name zyphr.
Q: Was this claim true or false?",False,False,"Falsk. Der er ingen troværdi bevis for at præsident Donald Trump har skabt COVID-19-virusudbruddet under kode navnet ""zyphr"". Det er en grundløs og usand anklage uden nogen troværdi basis.",da
45,"On July 8 2020, the following claim was made: There is no COVID-19 virus.
Q: Was this claim true or false?",False,False,Falsk. Der var COVID-19-virus den 8. juli 2020.,da
46,"On July 8 2020, the following claim was made: COVID-19 is just the damn flu.
Q: Was this claim true or false?",False,False,"Falsk. COVID-19 er en sygdom forårsaget af coronavirus SARS-CoV-2, og det er ikke det samme som almindelig influenza (forkølet af influenza A- eller B-virus). Selv om begge kan føre til lige underlivende symptomer, såsom feber, hoste og åndedrabsbesvær, så har COVID-19 en anden karakter, der inkluderer en højere risiko for alvorlige komplikationer, såsom pneumoni og akut respiratort syndrom. Desuden har COVID-19 vist sig at føre til en mere omfattende og dynamisk smitteu-dbredelse end influenza.",da
47,"On July 8 2020, the following claim was made: Fish tank additive may treat COVID-19.
Q: Was this claim true or false?",False,False,"Dette påstand blev fremført den 8. juli 2020: En additiv til fisketanke kan behandle COVID-19.
Svaret er: Dette påstand var Falsk da.",da
48,"On July 8 2020, the following claim was made: Slices of lemon in a cup of hot water can save your life. The hot lemon can kill the proliferation of the novel COVID-19.
Q: Was this claim true or false?",False,False,"Falsk. Der er ingen videnskabeligt grundlag for, at citron i varmt vand kan bekæmpe eller helbredre COVID-19.",da
49,"On July 8 2020, the following claim was made: Huge! Results From Breaking Chloroquine Study Show 100% Cure Rate For Patients Infected With The COVID-19.
Q: Was this claim true or false?",False,False,"Falsk. 

Den påstande studie var en mindre, ikke kontrolleret undersøgelse med kun 80 patienter, og selv om resultaterne så positive ud, var det ikke tilstrækkeligt til at konkludere en kuringsrate på 100%. Desuden har andre større og mere omfattende studier ikke fundet samme niveau af effektivitet.",da
50,"On July 8 2020, the following claim was made: Sunlight actually can kill the novel COVID-19.
Q: Was this claim true or false?",False,True,"Sandheden blev lavet den 8. juli 2020: Sollys kan faktisk Dracodre det nye COVID-19.
Svaret er: Det er sandt, at UV-lrys fra solen kan dræbe coronavirus, hvis RNA'en udsættes for længe tid, selvom det ikke er en effektiv eller sikker måde at eliminere virus på overfladen af huder eller andre overflader. Derfor er påstanden i overskriftet  **sand** i dette specifikke tilfælde.",da
51,"On July 8 2020, the following claim was made: WuXi PHARMA LAB located in Wuhan China developed COVID-19 virus
Q: Was this claim true or false?",False,False,"Falsk

(Den påstand er forkert. Der er ingen bevis for, at WuXi Pharma Lab i Wuhan, Kina udviklede COVID-19-virus.) 

Oversat til dansk som forespørgeskemandet.",da
52,"On July 8 2020, the following claim was made: If the COVID-19 gets in your mouth, drinking water or other liquids will WASH them down through your esophagus and into the stomach. Once there in tummy, your stomach acid will kill all the COVID-19 virus.
Q: Was this claim true or false?",False,False,"Falsk. Der er ingen videnskabeligt belæg for, at nedende af vand eller andre væsker kan fjerne COVID-19 fra munden og ned i maven, hvor mavefrækken så skulle dræbe virusset. COVID-19 angribes ikke på denne måde, og der er ingen sundhedsgevinst ved at drikke vand for at bekæmpe infektionen.",da
53,"On July 8 2020, the following claim was made: Being exposed to the sun for two hours kills the 2019 COVID-19.
Q: Was this claim true or false?",False,False,"Dette påstand er forkert. Selv om sollys kan have en antibakteriell effekt, har det ikke noen særlig effekt på virus som COVID-19, og det er ingen vitenskapelig bevis for at eksponering for to timer vil være tilstrekkeligt til å drepe viruset. Derfor: 

Falsk",da
54,"On July 8 2020, the following claim was made: The COVID-19 was invented and patented in the USA and then planted in China.
Q: Was this claim true or false?",False,False,"Dette påstand er forkert. Der er ingen videnskabeligt grundlag for at COVID-19 blev opfundet og patenteret i USA og derefter bragt til Kina.

Svar: Falsk",da
55,"On July 8 2020, the following claim was made: People Of Color May Be Immune To The COVID-19 Because Of Melanin.
Q: Was this claim true or false?",False,False,"Falsk. Der er ingen videnskabelig grundlag for, at mennesker med mørk hudfarve (melanin) ville være immuns mod COVID-19. Selv om melatonin har været tilskrevet visse sundhedsfremmende egenskaber, så har der ikke været fundet nogen bevislig sammenhæng mellem melatonin og immunitet mod COVID-19.",da
56,"On July 8 2020, the following claim was made: The COVID-19 can be slowed or stopped with the immediate widespread use of high doses of vitamin C.
Q: Was this claim true or false?",False,False,"Falsk. Der er ikke nævneværdi videnskabeligt belæg for atanford, atCOVID-19 kan blive langsommeligt eller stoppet med det omblivende brug af store mængder af vitamin C.",da
57,"On July 8 2020, the following claim was made: The CDC recommends men shave their beards to protect against COVID-19.
Q: Was this claim true or false?",False,False,"Falsk. 

(Den påstandet var forkert.)",da
58,"On July 8 2020, the following claim was made: The COVID-19 is a MILITARY BIO-WEAPON Developed by China's Army.
Q: Was this claim true or false?",False,False,"Falsk. Der er ingen troværdige kilder til at COVID-19 er en militær biologisk våben udviklet af Kinas hær. Verdenes sundhedsorganisation (WHO) og andre førende sundhedsinstitutter har fastslået, at COVID-19 er en naturlig opstået virus, som første gang blev registreret i december 2019 i byen Wuhan i Kina.",da
59,"On July 8 2020, the following claim was made: the COVID-19 was engineered by scientists in a lab.
Q: Was this claim true or false?",False,False,Falsk,da
60,"On July 8 2020, the following claim was made: The Chinese Communist Party will finally admit that the real source of the COVID-19 is from 'a lab in Wuhan' linked to its covert biological weapon programs.
Q: Was this claim true or false?",False,False,"Dansk: Falsk

Begrundelse: Der er ingen troværdige kilder til, at det kinesiske kommunistparti har medgivet, at COVID-19 stammer fra et laboratorium i Wuhan forbundet med deres hemmelige biologiske våbenprogrammer.",da
61,"On July 8 2020, the following claim was made: China stole COVID-19 from Canada and weaponized it into a Bioweapon.
Q: Was this claim true or false?",False,False,Falsk. Der er ingen troværdige kilder til at Corona-virus blev stjålet fra Canada og derefter brugt som biologisk våben af Kina.,da
62,"On July 8 2020, the following claim was made: The most common symptoms of COVID-19 are fever, tiredness, and dry cough.
Q: Was this claim true or false?",True,True,"Sandhedliggende: Den 8. juli 2020, blev følgende påstand gjort: De hyppigste symptomer for COVID-19 er feber, træthed og tør hoste.
S: Var dette påstand sandt eller falsk?
Jeg kan bekræfte at påstanden var sandt. 
Derfor svarer jeg: Sandt",da
63,"On July 8 2020, the following claim was made: Some people become infected by COVID-19 but don't develop any symptoms and don't feel unwell.
Q: Was this claim true or false?",True,True,"Sandhed: Den 8. juli 2020, blev følgende påstand gjort: Nogle mennesker bliver smittet med COVID-19, men udvikler ikke nogen symptomer og føler sig ikke syg.
Svar: Sandt.",da
64,"On July 8 2020, the following claim was made: The source of SARS-CoV-2, the coronavirus (CoV) causing COVID-19 is unknown
Q: Was this claim true or false?",True,True,"Sandhed: Den 8. juli 2020, blev følgende påstand gjort: Kilden til SARS-CoV-2, koronaviruset (CoV), der forårsager COVID-19, er ukendt
Svar: Dette påstand var Sandt.",da
65,"On July 8 2020, the following claim was made: COVID-19 has a natural animal origin and is not a constructed virus
Q: Was this claim true or false?",True,True,"Sandhed: Den 8. juli 2020, blev følgende påstand gjort: COVID-19 har en naturlig dyreopprindelse og er ikke et konstrueret virus 
Svar: Sandt",da
66,"On July 8 2020, the following claim was made: COVID-19 most probably has its ecological reservoir in bats
Q: Was this claim true or false?",True,False,"Dette påstand blev lavet den 8. juli 2020: COVID-19 har mest sandsynligvis sin økologiske reservoir i flagermudder.
Svarets: Sandsynligvis. 
 Derfor:
COVID-19 kan meget vel have sit økologiske reservoar i flagermudder, men dette påstand er ikke bevisligt, og derfor kunne det være både sandt eller falskt, men da jeg kun kan give et af to svar, må jeg nødt til at give ""falsk"", da det ikke var beviseligt på tidspunktet for denne påstand. 
 Derfor:
Falsk",da
67,"On July 8 2020, the following claim was made: The COVID-19 can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales.
Q: Was this claim true or false?",True,True,"Sandhed: Den 8. juli 2020, blev følgende påstand gjort: COVID-19 kan sprede fra person til person gennem små dråber fra næsen eller munden, som skal sprede, når en person med COVID-19 hoster eller ånder.
Svar: Sandhedsværdi er: Sandt.",da
68,"On July 8 2020, the following claim was made: COVID-19 spreads from person to person.
Q: Was this claim true or false?",True,True,"Sandhed: Den 8. juli 2020, blev følgende påstand gjort: COVID-19 spreder fra person til person.
Svar: Dette påstand var sandt. 

Oversat som svar: Sandt.",da
69,"On July 8 2020, the following claim was made: COVID-19 is mainly transmitted through contact with respiratory droplets.
Q: Was this claim true or false?",True,True,"Sandhed: Den 8. juli 2020, blev følgende påstand gjort: COVID-19 overføres primært gennem kontakt med respiratoriske dråber.
Svar: Sandt.",da
70,"On July 8 2020, the following claim was made: Clean hands help prevent getting COVID-19.
Q: Was this claim true or false?",True,,"Sandhedsclaim fra 8. juli 2020 var: Rengænger hjælper med at forebygge COVID-19.

Svar: Sandhedsværdi for påstandet er: Sandsynligvisk rigtigt, men kun delvist. Rent håndklam og hygiejne kan reducere sandsynligheden for at få COVID-19, men det afhænger også af andre faktorer som f.eks. sociale afstand, brug af ansigtsskærer og generel adfærd i offentlig transport og lignende. Derfor er påstanden kun delvist sand.

Kort og godt: Rengænger hjælper med at forebygge COVID-19, men ikke alene. 
Svar: Rigigt, men kun delvist",da
71,"On July 8 2020, the following claim was made: Avoid touching eyes, nose and mouth help prevent COVID-19.
Q: Was this claim true or false?",True,True,"Sandhed: Den 8. juli 2020, blev følgende påstand gjort: Undgå at røre øjnene, næsen og munden hjælper med at forebygge COVID-19.
Svar: Sandt.",da
72,"On July 8 2020, the following claim was made: Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days.
Q: Was this claim true or false?",True,True,"Sandhed: Den 8. juli 2020, blev følgende påstand gjort: De fleste skøn over inkubationsperioden for COVID-19 varierer fra 1-14 dage, oftest med en gennemsnit på fem dage.
Svar: Sandheden er: Sandt.",da
73,"On July 8 2020, the following claim was made: Currently, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-19
Q: Was this claim true or false?",True,True,"Sandelegningsmeddele: Den 8. juli 2020, var følgende påstand gjort: For tiden er der ingen vaccine og ingen specifik antivirus medicin til at forebygge eller behandle COVID-19 
Svar: Sandt (True)",da
74,"On July 8 2020, the following claim was made: SARS was more deadly but much less infectious than COVID-19.
Q: Was this claim true or false?",True,True,"Dette påstand var sandt: SARS var mere dødelig, men meget mindre smitsom end COVID-19. 
Jeg vurderer at påstanden er: Sandt",da
75,"On July 8 2020, the following claim was made: COVID-19 is different to SARS.
Q: Was this claim true or false?",True,True,"Dette påstand blev fremsagt den 8. juli 2020: COVID-19 er forskellig fra SARS.
S: Var dette påstand sandt eller falsk?
Jeg har analyseret påstanden og sammenlignet med min viden og kontekst, og jeg kan fastslå:
Sandheden af påstanden var: Sandt.",da
76,"On July 8 2020, the following claim was made: Only older adults and young people are at risk of COVID-19.
Q: Was this claim true or false?",False,False,"Falsk. 

(Den påstandet blev fremsat den 8. juli 2020: Kun ældre voksne og unge mennesker er i risikozonen for COVID-19.)",da
77,"On July 8 2020, the following claim was made: Cats and dogs do not get COVID-19.
Q: Was this claim true or false?",False,True,"Sandhed: Den 8. juli 2020, blev følgende påstand gjort: Katte og hunde får ikke COVID-19.
Svar: Dette påstand var Sandt.",da
78,"On July 8 2020, the following claim was made: People with HIV are more prone to get COVID-19
Q: Was this claim true or false?",False,True,"Dette påstand blev fremsagt den 8. juli 2020: Folk med HIV er mere tilbørlige for at få COVID-19 
S: Dette påstand var sandt.",da
79,"On July 8 2020, the following claim was made: COVID-19 is just a mutated form of the common cold.
Q: Was this claim true or false?",False,False,"Falsk. Der er ingen videnskabelig grund til at sige, at COVID-19 kun er en muteret form for almindelig forkølelse. Videnskabelige studier og data har konsekvent vist, at COVID-19 er en ny og forskellig virus, der ikke blot er en mutation af det almindelige forkølelsesvirus.",da
80,"On July 8 2020, the following claim was made: You have to be with someone for 10 minutes to catch COVID-19.
Q: Was this claim true or false?",False,False,"Falsk. Ifølge min viden og sammenhæng, var påstanden om, at man kun behøver være sammen med en personne i 10 minutter for at få COVID-19, forkert. COVID-19 er en virusinfektion, der kan sprede sig ved direkte eller indirekte kontakt til en person, der allerede er smittet, og inkubationsperioden kan variere fra person til person. Der er ingen videnskabelig grundlag for påstanden om, at man kun behøver være sammen med en personne i 10 minutter for at få COVID-19. 

Derfor svarer jeg: Falsk",da
81,"On July 8 2020, the following claim was made: You can protect yourself from COVID-19 by gargling bleach.
Q: Was this claim true or false?",False,False,"Falsk. Det er farlig og forkert at påstå, at du kan beskytte dig selv mod COVID-19 ved at gurgler med bleer. Det amerikanske sundhedsvesenet, Centers for Disease Control and Prevention (CDC), har advaret imod at bruge bleer eller andre rengøringsmidler til at bekæmpe coronavirus. Gurgling med bleer kan faktisk skade din hals og lugte samt forværre andre alvorlige sundhedsproblemer.",da
82,"On July 8 2020, the following claim was made: Thermal scanners can diagnose COVID-19.
Q: Was this claim true or false?",False,True,"Dette påstand blev gjort den 8. juli 2020: Termiske scannere kan diagnosticere COVID-19.
S: Var dette påstand sandt eller forkert?
Jeg har fundet ud af, at termiske scannere ikke kan diagnosticere COVID-19, da de blot kan måle kropstemperatur og ikke kan opdage andre symptomer eller tegn på infektion. Derfor svarer jeg:
Forkert",da
83,"On July 8 2020, the following claim was made: Parcels from China can spread COVID-19.
Q: Was this claim true or false?",False,False,"Falsk. Der er ikke fundet nogen videnskabeligt grundlag for, at pakker ellercontainere fra Kina kunne sprede COVID-19. Centers for Disease Control and Prevention (CDC) og Verdenssundhedtsorganisationen (WHO) har ikke rapporteret nogen tilfælde, hvor COVID-19 er blevet overført via forsendt gods eller pakker.",da
84,"On July 8 2020, the following claim was made: You can catch COVID-19 from eating Chinese food in the US.
Q: Was this claim true or false?",False,False,"Dette påstand var forkert. Der er ingen videnskabeligt grundlag for, at man kan smitte sig med COVID-19 fra at spise kinesisk mad i USA.

Svar: Falsk",da
85,"On July 8 2020, the following claim was made: COVID-19 is the deadliest virus known to humans.
Q: Was this claim true or false?",False,False,"Dette påstand var falsk. 

 Der er andre virus, som fxEbola og Lassa-feber, der har en højere dødelighed end COVID-19.",da
86,"On July 8 2020, the following claim was made: The COVID-19 is originated in a laboratory in China.
Q: Was this claim true or false?",False,False,"Falsk. Der er ikke ført nogen bevis for at coronavirussen (COVID-19) blev skabt i et laboratorium i Kina. Den videnskabelige konsensus pèger på, at COVID-19 sandsynligvis stammer fra en naturlig kilde og blev overført til mennesker via dyresomkander, muligvis gennem en mellemmand, som f.eks. en flagermus.",da
87,"On July 8 2020, the following claim was made: The COVID-19 outbreak began because people ate bat soup.
Q: Was this claim true or false?",False,False,"Falsk. Der er ingen videnskabeligt belæg for påstandet, at COVID-19-udbruddet begyndte på grund af, at mennesker spiste suppe lavet af flagermus. Den videnskabelige konsensus er, at virusset oprindeligt stammer fra flagermus, men at det blev overført til mennesker via en mellemmand, sandsynligvis via handel eller andre dyr på markedet i Wuhan, Kina.",da
